Career,Python,C,C++,Java,JavaScript,SQL,API_Understanding,Version_Control,Linux_Command_Line,Cloud_Basics,AI_ML,Data_Science,Web_Development,Cybersecurity,Cloud_DevOps,System_Programming,Mobile_Development,Game_Development,UI_UX_Design,Research_Theory,Mathematics,DBMS,Operating_Systems,Computer_Networks,OOP_Concepts,Software_Engineering,Projects_Completed,GitHub_Usage,Hackathon_Participation,Coding_Contest_Participation,Open_Source_Contribution,Challenge_Logic_Bugs,Challenge_Data_Patterns,Challenge_UI_Design,Challenge_System_Behavior,Problem_Break_Logically,Problem_Search_Docs,Problem_Ask_Help,Problem_Trial_Error,Comfort_Abstract_Thinking,Comfort_Structured_Logic,Comfort_Visual_Design,Comfort_Repeated_Refinement,Work_Alone,Work_Team,Task_Fast_Output,Task_Deep_Long_Work,Style_Structured,Style_Exploratory,Hours_Available_Daily,Consistency,Sustain_One_Topic,Goal_Quick_Placement,Goal_High_Salary,Goal_Research,Goal_Startup,Work_Remote,Work_Office,Work_Hybrid,Difficulty_Easy_Entry,Difficulty_Moderate,Difficulty_Long_Hard_Path,VSCode_Familiarity,Terminal_Usage,Postman_Familiarity,Jupyter_Familiarity,Technical_Explanation_Confidence,Presentation_Confidence,Documentation_Writing_Confidence,Team_Coordination_Confidence,
ML Engineer,5,3,3,3,1,3,3,3,3,3,5,5,1,1,3,1,1,1,1,5,5,3,3,1,3,3,3,3,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,4,3,5,0,0,1,1,0,1,0,0,0,1,0,3,3,3,5,3,3,3,3
Data Analyst,5,1,1,1,1,5,3,3,1,1,4,5,1,1,2,1,1,1,1,3,5,5,1,1,3,3,3,3,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,4,3,5,0,1,1,0,0,1,0,0,0,1,0,3,1,3,5,3,3,3,3
Backend Developer,5,3,3,5,3,5,5,5,3,3,1,1,5,1,1,3,1,1,1,1,3,5,3,3,5,5,3,3,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,3,3,3,1,1,1,0,0,0,1,0,0,1,0,5,3,5,3,3,3,3,3
Frontend Developer,3,1,1,3,5,3,3,3,1,1,1,1,5,1,1,1,1,1,5,1,1,3,1,1,3,3,3,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,3,3,3,1,1,1,0,0,0,1,0,1,0,0,3,1,1,1,5,5,5,5
Cybersecurity Analyst,3,5,5,3,1,3,3,5,5,3,1,1,1,5,3,3,1,1,1,3,3,3,5,5,3,3,3,3,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,3,3,3,1,1,1,0,0,0,1,0,0,1,0,3,5,3,1,3,3,3,3
Cloud Engineer,3,3,3,3,1,3,5,5,3,5,1,1,2,2,5,2,1,1,1,2,3,3,3,3,3,3,3,3,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,4,3,3,0,1,1,0,0,0,1,0,0,1,0,5,5,5,1,3,3,3,3
System Software Engineer,3,5,5,3,1,1,1,3,5,3,1,1,1,2,2,5,1,1,1,5,3,3,5,5,3,3,3,3,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,3,3,5,1,0,1,1,0,0,1,0,0,0,1,3,5,1,1,3,3,3,3
UI UX Designer,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,2,2,5,1,1,1,1,1,1,3,3,3,1,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,3,3,3,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,5,5,5,5
Full Stack Developer,5,3,3,5,5,5,5,5,3,3,2,2,5,1,2,2,1,1,2,1,3,5,3,3,5,5,3,3,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,4,3,3,0,1,1,0,0,0,1,0,1,0,0,5,3,5,3,5,5,5,4
DevOps Engineer,3,3,3,3,1,3,5,5,5,5,1,1,2,2,5,3,1,1,1,2,3,3,5,3,3,3,3,3,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,3,3,3,1,1,1,0,0,0,1,0,0,1,0,5,5,5,3,3,3,3,3
Mobile App Developer,3,1,1,5,3,3,3,3,1,3,1,1,4,1,1,1,5,1,2,1,1,3,1,1,3,3,3,3,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,3,3,3,1,1,1,0,0,0,1,0,1,0,0,3,3,3,3,3,3,3,3
Research Engineer,5,3,3,3,1,3,1,1,3,3,5,5,1,1,2,3,1,1,1,5,5,5,3,3,3,3,3,3,1,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,4,5,5,0,0,0,1,0,0,1,0,0,0,1,3,3,3,5,5,5,5,3
